name,year,cause_of_death,suspicion_level,section
Bill Williams,Living,N/A,SUPPRESSED,UAPs Murders (General)
Adam Rasheed,Living,N/A,SUPPRESSED,UAPs Murders (General)
Amy Eskridge,2022,Ruled suicide,SUSPICIOUS,UAPs Murders (General)
Thomas Bearden,2022,Natural causes,MODERATE SUSPICION,UAPs Murders (General)
Bedini,2016,Sudden death,SUSPICIOUS,UAPs Murders (General)
Aaron Salter Jr.,2022,Gunshot (mass shooting),UNCERTAIN,UAPs Murders (General)
Zigmund Adamski,1980,Unknown,SUSPICIOUS,UAPs Murders (General)
William McCasland,2026,Missing,SUSPICIOUS,UAPs Murders (General)
Viktor Schauberger,1958,Unknown,SUSPICIOUS,UAPs Murders (General)
Lester Hendershot,1961,Carbon monoxide,SUSPICIOUS,UAPs Murders (General)
Nikola Tesla,1943,Cardiac arrest,SUSPICIOUS,UAPs Murders (General)
Rudolf Diesel,1913,Vanished from ship,SUSPICIOUS,UAPs Murders (General)
Jaime Gustitus,2025,Shot,UNCERTAIN,UAPs Murders (General)
Paul Brown,2002,Car accident,SUSPICIOUS,UAPs Murders (General)
Thomas Henry Moray,1974,Unknown,SUSPICIOUS,UAPs Murders (General)
Gianni Dotto,Unknown,Run over,SUSPICIOUS,UAPs Murders (General)
Stefan Marinov,1997,Fell from staircase,SUSPICIOUS,UAPs Murders (General)
Andrija Puharich,1995,Fall down stairs,SUSPICIOUS,UAPs Murders (General)
Ning Li,2021,Car accident,SUSPICIOUS,UAPs Murders (General)
Paul Bennewitz,2003,Natural causes,MODERATE SUSPICION,UAPs Murders (General)
Rory Johnson,~1979,Unknown,SUSPICIOUS,UAPs Murders (General)
John Bedini,2016,Sudden death,SUSPICIOUS,UAPs Murders (General)
David Greenhalgh,1987,Fell from railway bridge,SUSPICIOUS,UAPs Murders (General)
Victor Moore,1987,Drug overdose,SUSPICIOUS,UAPs Murders (General)
Trevor Knight,1988,Carbon monoxide,SUSPICIOUS,UAPs Murders (General)
Andrew Hall,1988,Carbon monoxide,SUSPICIOUS,UAPs Murders (General)
Michael Baker,1987,Car crash,SUSPICIOUS,UAPs Murders (General)
David Skeels,1987,Carbon monoxide,SUSPICIOUS,UAPs Murders (General)
Stuart Gooding,1987,Head-on collision,SUSPICIOUS,UAPs Murders (General)
Russell Smith,1988,Fell from cliff,SUSPICIOUS,UAPs Murders (General)
John Brittan,1987,Carbon monoxide,SUSPICIOUS,UAPs Murders (General)
George Kountis,1987,Car into river,SUSPICIOUS,UAPs Murders (General)
Floyd Sweet,1995,Heart attack,SUSPICIOUS,UAPs Murders (General)
Arie DeGeus,2007,Found dead in car,SUSPICIOUS,UAPs Murders (General)
Frank Jennings,1987,Heart attack,SUSPICIOUS,UAPs Murders (General)
Shani Warren,1987,Drowned,SUSPICIOUS,UAPs Murders (General)
Alistair Beckham,1988,Electrocuted,SUSPICIOUS,UAPs Murders (General)
Peter Ferry,1988,Electrocuted,SUSPICIOUS,UAPs Murders (General)
Richard Pugh,1987,Plastic bag on head,SUSPICIOUS,UAPs Murders (General)
Peter Peapell,1987,Carbon monoxide,SUSPICIOUS,UAPs Murders (General)
David Sands,1987,Car crash into wall,SUSPICIOUS,UAPs Murders (General)
Mark Wisner,1987,Plastic sack over face,SUSPICIOUS,UAPs Murders (General)
Vimal Dajibhai,1986,Fell from bridge,SUSPICIOUS,UAPs Murders (General)
Arshad Sharif,1986,Decapitated by rope,SUSPICIOUS,UAPs Murders (General)
Jonathan Walsh,1985,Fell from hotel window,SUSPICIOUS,UAPs Murders (General)
Anthony Godley,1983,Unknown,SUSPICIOUS,UAPs Murders (General)
Keith Bowden,1982,Car plunged off bridge,SUSPICIOUS,UAPs Murders (General)
Stefan Michalak,1999,Unknown,SUSPICIOUS,UAPs Murders (General)
Felix Moncla,1953,Aircraft disappeared,SUSPICIOUS,UAPs Murders (General)
Jonathan Lovette,1956,Mutilation,SUSPICIOUS,UAPs Murders (General)
Jim Sullivan,1975,Missing,SUSPICIOUS,UAPs Murders (General)
Frederick Valentich,1978,Aircraft disappeared,SUSPICIOUS,UAPs Murders (General)
Robert Bass,2013,Natural causes (age 83),SUSPICIOUS (associates killed),UAP Energy Systems Murders
Ken Shoulders,2013,Cancer (age 86),WORK SUPPRESSED,UAP Energy Systems Murders
Eugene Mallove,2004,Beaten to death,SUSPICIOUS,UAP Energy Systems Murders
Stan Gleeson,~1997,Stroke at age 48,SUSPICIOUS,UAP Energy Systems Murders
Andrew Riley,1992,Explosion of electrochemical cell,SUSPICIOUS,UAP Energy Systems Murders
Martin Fleischmann,2012,Natural causes (Parkinson's),Career destroyed,UAP Energy Systems Murders
B. Stanley Pons,Living,Career destroyed,Career destroyed,UAP Energy Systems Murders
Chris Tinsley,1997,Sudden death at ~50,SUSPICIOUS,UAP Energy Systems Murders
Bob Boyce,Living,N/A,ATTACKED AND SUPPRESSED,UAP Energy Systems Murders
Stanley Meyer,1998,Cerebral aneurysm at restaurant,SUSPICIOUS,UAP Energy Systems Murders
Francisco Pacheco,1992,Not well documented,SUPPRESSED,UAP Energy Systems Murders
Karen Silkwood,1974,Single-car crash,HIGHLY SUSPICIOUS,UAP Energy Systems Murders
Frank Roberts,Unknown,Chemically induced stroke,SUSPICIOUS,UAP Energy Systems Murders
John Kanzius,2009,Pneumonia (chemo complication),Not suspicious,UAP Energy Systems Murders
Daniel Dingel,2010,Died in custody,SUSPICIOUS,UAP Energy Systems Murders
Yull Brown,1998,Unknown,SUSPICIOUS,UAP Energy Systems Murders
John Andrews,~1917,Unknown,SUSPICIOUS,UAP Energy Systems Murders
Adam Trombly,Living,N/A,SUPPRESSED,UAP Energy Systems Murders
Thomas Townsend Brown,1985,Natural causes,SUSPICIOUS,UAP Energy Systems Murders
Wilhelm Reich,1957,Died in prison,SUSPICIOUS,UAP Energy Systems Murders
Gianni A. Dotto,Unknown,Run over multiple times,SUSPICIOUS,UAP Energy Systems Murders
John Hutchison,Living,N/A,SUPPRESSED,UAP Energy Systems Murders
John Searl,2018,Natural causes,SUSPICIOUS,UAP Energy Systems Murders
Paramahamsa Tewari,2017,Natural causes,SUSPICIOUS,UAP Energy Systems Murders
Trevor Constable,2016,Natural causes (age 90),SUSPICIOUS,UAP Energy Systems Murders
Bill Yelon,2018,Unknown,SUSPICIOUS,UAP Energy Systems Murders
Paul Pantone,2015,Unknown,SUSPICIOUS,UAP Energy Systems Murders
Joseph Westley Newman,2015,Unknown,SUSPICIOUS,UAP Energy Systems Murders
James Allen,2013,Unknown,SUSPICIOUS,UAP Energy Systems Murders
Zachary Warfield,2011,Unknown,SUSPICIOUS,UAP Energy Systems Murders
Mark Tomion,2009,Unknown,SUSPICIOUS,UAP Energy Systems Murders
Troy Reed,2007,Reportedly natural causes,UNCERTAIN,UAP Energy Systems Murders
Michael Zebuhr,2006,Gunshot to head (street robbery),HIGHLY SUSPICIOUS,UAP Energy Systems Murders
John Mullen,2004,Acute arsenic intoxication,HIGHLY SUSPICIOUS,UAP Energy Systems Murders
Gerald Schaflander,1996,Natural causes (age 76),UNCERTAIN,UAP Energy Systems Murders
Edwin Gray,1989,Heart attack (found alone),HIGHLY SUSPICIOUS,UAP Energy Systems Murders
Joseph Papp,1989,Colon cancer,SUSPICIOUS,UAP Energy Systems Murders
Jim Watson,~1985,MISSING,HIGHLY SUSPICIOUS,UAP Energy Systems Murders
Charles Nelson Pogue,1985,Natural causes,SUSPICIOUS,UAP Energy Systems Murders
Otis T. Carr,1982,Died in poverty,SUSPICIOUS,UAP Energy Systems Murders
Tom Ogle,1981,Darvon and alcohol overdose,SUSPICIOUS,UAP Energy Systems Murders
Henry Smolinski,1973,Aircraft crash,MODERATE SUSPICION,UAP Energy Systems Murders
Royal Rife,1971,Heart attack,CONFIRMED SUPPRESSION,UAP Energy Systems Murders
Dr. Frederick Hochstetter,~1929,Train wreck,SUSPICIOUS,UAP Energy Systems Murders
Nathan Stubblefield,1928,Starvation,SUSPICIOUS,UAP Energy Systems Murders
Frank Richardson,Unknown,Chemically induced stroke,SUSPICIOUS,UAP Energy Systems Murders
Al Wordsworth,Unknown,Unknown,SUSPICIOUS,UAP Energy Systems Murders
Brian O'Leary,2011,Cancer,SUSPICIOUS,UAP Energy Systems Murders
Bruce DePalma,1997,Unknown,SUSPICIOUS,UAP Energy Systems Murders
Andrii Slobodian,2020,Unknown,SUSPICIOUS,UAP Energy Systems Murders
Georges Lakhovsky,1942,Hit by car,SUSPICIOUS,UAP Energy Systems Murders
Justin Christofleau,1938,Unknown,SUSPICIOUS,UAP Energy Systems Murders
John Christie,2017,Unknown,SUSPICIOUS,UAP Energy Systems Murders
Dimitri Petronov,~2010,Unknown,SUSPICIOUS,UAP Energy Systems Murders
Paulo and Alexandra Correa,Living,N/A,SUPPRESSED,UAP Energy Systems Murders
George Taylor Fulford,1905,Car accident,SUSPICIOUS,UAP Energy Systems Murders
Alexander Chernetsky,Unknown,Unknown,SUSPICIOUS,UAP Energy Systems Murders
Andrew Kazolnikov,Unknown,Poisoned,SUSPICIOUS,UAP Energy Systems Murders
Lou Britz,Unknown,Unknown,SUSPICIOUS,UAP Energy Systems Murders
William Neil McCasland,2026,Missing,SUSPICIOUS,UAP Energy Systems Murders
Eric Wang,1960,Unknown,SUSPICIOUS,UAP Energy Systems Murders
Gary McKinnon,—,N/A,SUPPRESSED,UAP Energy Systems Murders
Gilbert N. Lewis,1946,Unknown,SUSPICIOUS,UAP Energy Systems Murders
Jonathan Moyle,1990,Found hanged,SUSPICIOUS,UAP Energy Systems Murders
John Whiteman,1987,Unknown,SUSPICIOUS,UAP Energy Systems Murders
Avtar Singh-Gida,1987,Unknown,SUSPICIOUS,UAP Energy Systems Murders
Roger Hill,1985,Suicide by shotgun,SUSPICIOUS,UAP Energy Systems Murders
Ernest Doyle,1982,Unknown,SUSPICIOUS,UAP Energy Systems Murders
Philo Farnsworth,1971,Unknown,SUSPICIOUS,UAP Energy Systems Murders
Dallis Hardwick,2014,Unknown,SUSPICIOUS,UAP Energy Systems Murders
William Colby,1996,Drowned,SUSPICIOUS,UAP Physics Murders
T. Henry Moray,1974,Unknown,SUSPICIOUS,UAP Physics Murders
GEC-Marconi Scientists,1982-1990,Various,HIGHLY SUSPICIOUS,UAP Physics Murders
Luis Elizondo,Living,N/A,TARGETED,UAP Physics Murders
Garry Nolan,Living,N/A,TARGETED,UAP Physics Murders
Hal Puthoff,Living,N/A,TARGETED,UAP Physics Murders
